10 Giugno 2017	32.37.10.31.62	52.13.40.82.59	09.78.65.79.55	33.01.27.07.70	65.33.56.37.89	89.42.30.43.33	48.86.87.75.36	35.78.15.17.33	86.01.54.60.61	87.66.03.11.88	02.21.01.76.39
8 Giugno 2017	05.83.38.40.42	46.17.81.39.80	26.05.35.85.37	80.35.07.10.36	75.62.70.28.59	73.53.60.74.47	37.08.56.50.03	02.37.14.75.60	60.63.66.88.31	89.40.80.42.20	48.38.83.85.22
6 Giugno 2017	82.27.70.68.19	37.34.62.44.80	55.27.69.02.88	53.58.56.30.20	07.64.39.27.43	33.72.82.84.49	27.35.02.62.06	65.46.75.33.76	71.08.63.02.79	41.24.16.12.65	69.16.90.54.52
3 Giugno 2017	29.48.50.05.08	53.06.50.84.51	63.85.21.30.59	89.78.64.63.70	36.44.46.50.15	01.39.47.25.45	25.73.64.60.80	56.16.62.83.33	77.71.51.47.65	15.80.87.82.61	53.37.78.24.58
1 Giugno 2017	46.66.89.68.03	11.47.74.05.44	61.67.04.53.14	38.67.61.71.22	10.38.72.20.24	64.56.22.52.76	63.02.26.34.61	02.01.54.52.05	40.51.18.61.08	49.21.38.65.76	60.35.13.68.09
30 Maggio 2017	47.57.80.53.32	13.18.72.46.05	80.83.06.79.12	54.32.50.20.15	67.77.72.62.19	28.33.63.07.26	55.12.72.81.66	74.32.44.34.13	56.36.48.68.32	06.50.58.18.12	69.51.10.65.39
27 Maggio 2017	57.64.14.17.05	60.30.73.16.63	42.61.43.28.89	70.10.23.74.78	51.29.58.43.55	53.18.04.71.08	14.40.57.83.16	20.04.79.58.60	47.16.17.08.29	61.12.77.76.11	89.71.20.73.50
25 Maggio 2017	69.88.47.01.74	01.32.22.80.08	87.17.68.40.59	39.30.90.79.80	41.28.02.55.12	55.09.28.85.72	09.79.34.45.42	57.40.16.20.09	25.72.42.41.45	80.11.06.37.57	48.89.12.72.50
23 Maggio 2017	57.14.66.80.45	90.44.59.57.16	61.68.79.04.37	10.71.14.06.41	30.81.65.74.77	04.84.65.39.58	08.81.20.68.12	78.77.69.27.38	02.23.37.54.48	29.82.84.43.53	70.64.62.48.35
20 Maggio 2017	44.71.11.48.68	14.34.52.04.07	72.08.37.90.04	16.19.35.53.23	52.37.76.20.83	35.14.65.49.24	64.70.29.36.73	61.33.34.84.18	11.42.05.76.75	01.10.25.04.47	64.59.70.28.48
18 Maggio 2017	10.89.60.34.88	16.27.79.63.51	16.01.82.59.58	32.04.27.34.78	39.59.79.41.38	21.80.65.11.89	33.89.42.30.50	01.20.45.04.50	52.76.32.36.77	14.75.25.35.11	03.52.61.38.70
16 Maggio 2017	27.57.61.16.10	77.60.09.40.45	32.38.04.08.52	39.41.74.34.19	09.46.75.17.61	89.33.02.76.27	10.42.57.30.13	87.70.48.20.13	66.38.33.13.77	39.31.48.26.01	47.54.87.76.38
13 Maggio 2017	84.68.03.19.18	22.48.77.46.73	30.59.38.88.47	44.72.76.48.60	10.73.67.41.21	50.69.24.68.84	15.64.14.40.68	10.83.86.76.27	87.43.67.51.17	41.10.35.80.26	43.89.50.05.07
11 Maggio 2017	06.55.39.07.43	55.08.56.27.74	48.26.87.74.27	75.41.19.28.49	39.37.19.26.07	64.07.80.61.19	77.86.58.03.42	84.17.44.16.52	57.84.85.38.20	13.56.35.39.22	72.58.59.13.61
9 Maggio 2017	39.50.71.36.82	03.53.55.72.35	80.08.67.78.19	45.39.03.90.62	23.64.35.10.07	58.14.56.20.12	65.28.42.60.53	80.82.35.53.70	36.05.40.08.64	06.20.18.40.50	40.42.24.27.71
6 Maggio 2017	15.31.20.78.66	84.33.47.09.45	17.48.33.49.20	16.51.62.21.72	12.83.64.62.02	15.80.52.05.89	02.33.65.72.61	29.49.13.70.83	43.68.34.23.65	65.87.70.25.12	30.81.55.37.41
4 Maggio 2017	61.70.47.71.75	26.44.16.77.55	03.11.37.38.18	70.14.75.86.55	71.53.39.06.30	73.20.12.13.54	37.49.33.80.61	39.60.75.32.02	24.87.52.90.16	14.54.25.61.63	40.78.43.75.55
2 Maggio 2017	86.23.39.89.05	23.04.14.86.05	71.26.19.15.06	69.05.16.58.83	19.45.04.16.68	06.16.75.78.89	67.83.21.05.01	51.79.12.47.19	44.17.60.31.53	89.32.48.71.57	27.83.41.37.23
29 Aprile 2017	90.40.44.26.53	41.31.04.63.81	39.58.55.66.06	13.30.75.69.83	69.72.48.02.16	81.77.82.16.50	69.16.08.25.28	49.05.73.57.28	56.65.51.66.48	70.30.51.29.72	25.23.14.09.53
27 Aprile 2017	60.30.41.10.55	66.75.41.27.64	08.10.28.14.34	24.35.53.52.78	86.63.25.61.70	28.10.18.25.84	08.34.09.37.48	45.29.76.07.65	55.82.60.03.06	26.46.02.84.61	31.81.39.57.46
26 Aprile 2017	44.89.36.83.74	38.14.79.53.66	08.47.87.37.35	83.76.47.75.53	10.63.13.61.23	56.11.04.67.42	08.53.04.07.70	69.64.29.54.17	75.13.49.09.01	14.24.86.34.47	85.77.11.42.17
22 Aprile 2017	08.57.23.50.58	46.28.41.09.24	74.73.22.61.59	43.54.63.62.72	45.09.06.56.18	59.67.86.82.47	45.13.83.62.41	63.66.75.01.26	05.28.11.90.10	45.27.20.81.53	25.86.75.47.24
20 Aprile 2017	80.61.73.67.77	69.41.16.82.52	16.69.48.38.61	53.64.87.32.89	19.80.81.25.42	09.18.34.25.31	74.83.51.45.10	32.28.67.69.42	86.79.76.41.08	59.54.20.14.44	56.18.33.16.77
18 Aprile 2017	05.74.40.51.09	84.68.25.78.15	26.38.78.43.33	69.56.80.44.15	66.51.69.24.75	49.26.56.06.34	37.77.48.03.70	57.44.78.45.13	35.31.30.66.60	47.55.37.81.22	80.31.28.89.10
15 Aprile 2017	89.61.32.14.80	84.63.90.13.24	40.10.47.19.90	27.60.82.37.71	55.32.68.14.69	03.40.71.11.88	41.51.63.45.14	73.29.59.50.31	46.32.18.44.69	20.04.64.51.15	32.11.58.66.01
13 Aprile 2017	22.87.90.73.75	08.12.32.59.39	21.65.50.06.19	69.90.35.60.88	68.01.46.72.76	08.16.23.42.59	30.18.33.61.90	35.88.25.19.36	46.03.79.38.76	30.26.46.54.23	44.11.79.02.90
11 Aprile 2017	60.20.68.15.44	84.13.58.46.37	88.20.18.08.29	84.59.82.31.44	40.76.62.12.01	32.08.33.87.68	13.64.90.33.84	75.04.07.13.87	03.25.68.21.90	09.12.25.21.47	35.04.54.80.86
8 Aprile 2017	70.12.69.73.30	53.77.25.23.39	21.45.61.14.46	47.44.32.01.14	77.61.51.28.30	29.89.81.33.22	22.65.83.80.14	06.87.78.03.75	51.05.40.85.15	89.19.90.12.36	28.12.78.38.36
6 Aprile 2017	60.48.82.27.09	59.04.44.64.73	80.26.44.59.19	30.37.13.46.06	09.11.35.29.85	10.56.68.57.90	47.27.03.43.85	23.57.28.36.61	29.32.07.40.16	78.03.37.29.67	81.56.87.31.02
4 Aprile 2017	81.69.68.06.63	10.40.34.19.69	47.78.72.65.25	39.01.27.75.42	44.47.86.60.37	42.23.40.33.02	18.42.77.70.05	74.09.25.43.33	32.15.33.82.49	60.59.62.84.71	30.52.59.09.82
1 Aprile 2017	72.18.75.73.14	31.40.16.01.17	06.42.39.55.11	69.89.78.06.10	69.85.83.19.11	33.65.07.06.39	34.36.62.86.25	23.01.33.67.90	01.75.49.43.04	14.29.07.76.26	55.79.44.80.74
30 Marzo 2017	49.61.42.09.01	66.25.69.89.58	26.29.31.17.74	44.06.67.86.45	17.27.88.03.77	78.62.60.27.09	65.59.52.34.31	73.67.06.83.47	54.18.86.26.71	75.04.67.66.46	52.78.36.59.28
28 Marzo 2017	55.70.58.20.78	79.12.57.02.33	82.47.65.63.30	02.01.82.85.71	34.31.10.65.23	90.49.74.24.77	80.29.53.81.15	77.18.86.79.73	80.18.42.37.65	34.86.47.07.40	30.40.50.20.56
25 Marzo 2017	75.27.23.64.73	14.44.42.23.87	09.36.72.33.74	82.87.15.80.50	74.05.82.29.56	51.42.29.73.50	14.01.07.20.77	35.20.79.82.07	54.31.28.53.55	12.61.51.39.26	86.01.67.82.41
23 Marzo 2017	54.33.01.15.71	64.46.15.71.13	38.15.28.01.04	59.11.20.57.74	44.65.70.17.75	39.54.34.33.89	67.07.08.21.86	82.40.83.88.90	77.60.80.11.90	54.80.86.24.84	77.35.82.84.20
21 Marzo 2017	07.74.65.32.12	77.47.04.72.15	64.62.29.14.84	49.88.63.23.05	30.67.43.18.54	22.02.78.55.39	25.15.36.45.75	20.16.57.40.75	08.11.35.54.65	72.83.68.14.27	89.60.63.83.25
